Title,Status,Class Period,Settlement Fund,Case Definition,Security Id,FinalSettlementdate,Court,Lead Institutional,Settling Defendants,SEC Case,leadInst,Case Summary
"Case Profile - American International Group, Inc. (2004) (Starr Defendants)",Settled,"Oct 28, 1999 to Apr  1, 2005","$115,000,000","On behalf of all persons who purchased or otherwise acquired publicly-traded securities issued by American International Group, Inc. (""AIG"" or the ""Company"") during the Class Period, including all persons and entities who held the common stock of HSB Group, Inc. (""HSB"") at the time HSB was acquired by AIG in a stock for stock transaction, and all persons and entities who held the common stock of American General Corporation (""AGC"") at the time AGC was acquired by AIG in a stock for stock transaction.",American General Corp. (no ticker)026351106AMERICAN INTERNATIONAL GROUP INC (AIG)026874107; 026874784AMERICAN INTERNATIONAL GROUP INC (no ticker)026874AN7; 026874AP2; 026874AQ0; 026874AR8; 026874AS6; 026874AT4American International Group Inc (no ticker)USU02687AB48; USU02687AC21AMERICAN INTL GROUP INC MEDIUMTERM NTS BOOK ENTRY (no ticker)02687QBB3HSB GROUP INC (HSB)40428N109Put/Call Options in AIG common stock (AIG)OPTIONS,"May 13, 2013",USDC - New York (Southern),"Ohio Police and Fire Pension Fund, Ohio Public Employees Retirement System, State Teachers Retirement System of Ohio","Maurice R. Greenberg;Howard I. Smith;Michael J. Castelli;Christian M. Milton;Starr International Company, Inc.;C.V. Starr &amp; Co., Inc.;",0,1,"The Complaint alleges as follows: During the Class Period, defendants disseminated false and misleading financial statements to the investing public concerning AIG's results and operations. The true facts, which were known by each of the defendants but concealed from the investing public during the Class Period, were as follows: (a) that the Company was paying illegal and concealed ""contingent commissions"" pursuant to illegal ""contingent commission agreements;"" (b) that by concealing these ""contingent commissions"" and such ""contingent commission agreements"" the defendants violated applicable principles of fiduciary law, subjecting the Company to enormous fines and penalties totaling potentially tens, if not hundreds, of millions of dollars; (c) that defendants had concealed the fact that AIG had engaged in illegal transactions using PNC-style structures with at least five additional insurers (in addition to PNC), contrary to defendants' claims on January 30, 2002; and (d) that as a result, AIG's prior reported revenue and income was grossly overstated."
"Case Profile - American Realty Capital Trust, Inc. (Maryland Circuit Court)",Settled,"Sep  6, 2012 to Jan 22, 2013",TBD,"On behalf of all holders of American Realty Capital Trust, Inc. (""ARCT"") common stock",AMERICAN RLTY CAP TR INC (ARCT)02917L101,"Oct 24, 2013","Maryland Circuit Court, Baltimore City",N/A,"American Realty Capital Trust, Inc.;Nicholas S. Schorsch;William M. Kahane;Leslie D. Michelson;Robert H. Burns;William G. Stanley;Realty Income Corporation;TAU Acquisition LLC;",0,0,"The Complaint alleges that the disclosures made to ARCT stockholders in connection with the merger were materially incomplete and/or misleading. Specifically, the ARCT's board of directors had failed to take reasonable steps to maximize shareholder value and may have improperly favored parent over other potential buyers, and further alleged that ARCT's board of directors had failed to disclose material facts to the shareholders, including potential conflicts of interests related to discussions concerning management retention, and related to the financial analyses performed by the board's financial advisors in connection with their fairness opinion."
Case Profile - AMERIGROUP Corporation (2012),Settled,to,$0,"On behalf of all holders of AMERIGROUP Corporation (""Amerigroup"" or the ""Company"") common stock during the period commencing March 3, 2012 and ending at the effective time of the closing of the merger",AMERIGROUP CORP (AGP)03073T102AMERIGROUP CORP (no ticker)03073T201,"Jan  9, 2013",Delaware Chancery Court,N/A,"Goldman Sachs &amp; Co.;AMERIGROUP Corporation;Thomas E. Capps;James G. Carlson;Jeffrey B. Child;Emerson U. Fullwood;Kay Coles James;William J. McBride;Hala Moddelmog;Joseph W. Prueher;Uwe E. Reinhardt;Richard D. Shirk;John W. Snow;James W. Truess;Richard C. Zoretic;WellPoint, Inc.;WellPoint Merger Sub, Inc.;",0,0,"The Complaint alleges that on July 9, 2012, Amerigroup and WellPoint, Inc. (""WellPoint"") executed an agreement and plan of merger, pursuant to which WellPoint will pay $92.00 per share in cash to acquire all of the outstanding shares of Amerigroup for an aggregate transaction value of approximately $4.9 billion. The Amerigroup Board (""Board"") signed up the deal without ever reaching out to other known suitors prior to executing the merger agreement.Further, the Board exacerbated the harm facing Amerigroup shareholders by agreeing to a multitude of deal protections, including a non-solicitation provision, $146 million termination fee, and matching rights, that collectively deter other potential bidders from submitting a superior offer for the Company.The Board and Amerigroup Management also caused the Company to file materially false and misleading Proxy which deprives Amerigroup shareholders from casting a fully informed vote on the proposed transaction."
"Case Profile - Amylin Pharmaceuticals, Inc. (2012)",Settled,"Feb  1, 2012 to Aug  9, 2012",$0,"On behalf of all holders of the common stock of Amylin Pharmaceuticals, Inc. (""Amylin"" or the ""Company"")",AMYLIN PHARMACEUTICALS INC (AMLN)032346108,"Feb  5, 2013",Delaware Chancery Court,N/A,"Amylin Pharmaceuticals, Inc.;Paulo F. Costa;Adrian Adams;Teresa Beck;M. Kathleen Behrens;Daniel M. Bradbury;Alexander J. Denner;Karin Eastham;James R. Gavin III, M.D., Ph.D.;Jay S. Skyler, M.D. MACP;Joseph P. Sullivan;Bristol-Meyers Squibb Company;B&amp;R Acquisition Company;",0,0,"The Complaint alleges as follows: On June 29, 2012, Amylin and Bristol-Meyers Squibb Company (""BMS"") issued a joint press release announcing that they had entered into a definitive merger agreement pursuant to which BMS would acquire Amylin, via a tender offer made by BMS's wholly-owned subsidiary B&amp;R Acquisition Company (""Merger Sub""), for an aggregate purchase price of approximately $5.3 billion. Under the terms of the proposed transaction, Amylin common shareholders will receive $31.00 per share in cash for each Amylin share they own. The total value of the transaction, including Amylin's net debt and a contractual payment obligation to Eli Lilly &amp; Company, together totaling about $1.7 billion, is approximately $7 billion.Specifically, pursuant to the agreement and plan of merger dated June 29, 2012 (the ""Merger Agreement"") entered into between Amylin, BMS, and Merger Sub, Merger Sub would commence a cash tender offer (the ""Tender Offer"") to purchase all outstanding shares of Amylin common stock at a purchase price of $31.00 per share in cash, to be followed by a merger of Merger Sub with and into the Company, with the Company continuing as the surviving corporation and becoming a wholly owned subsidiary BMS. The consideration to Amylin common shareholders contemplated and the proposal to consummate the transaction are fundamentally unfair to the shareholders of the Company by which constitutes a breach of fiduciary duties owed to Amylin common shareholders."
"Case Profile - Annapolis Bancorp, Inc.",Settled,to,$0,"On behalf of all persons who were record or beneficial owners of Annapolis Bancorp, Inc. (""Annapolis"" or the ""Company"") common stock from October 22, 2012, through and including the effective date of the merger",ANNAPOLIS BANCORP INC (ANNB)035848100,"Dec 10, 2013","Maryland Circuit Court, Anne Arundel County",N/A,"Richard M. Lerner;Debbie H. Gosselin;Michael S. McHale;Jeff W. Ostenso;Joseph G. Baldwin;Walter L. Bennett, IV;F. Carter Heim;Richard E. Hug;Clyde E. Culp, III;Kendel S. Ehrlich;Stanley J. Klos, Jr.;Lawrence E. Lerner;Lawrence W. Schwartz;Ermis Sfakiyanudis;F.N.B. Corporation;",0,0,"The complaint generally alleges the defendants' breaches of fiduciary duties in connection with the proposed acquisition of Annapolis by F.N.B. Corporation (""FNB"") whereby FNB would acquire all of the outstanding shares of the Company in an all-stock transaction in which Annapolis stockholders will receive 1.143 shares of FNB common stock per share of Annapolis stock pursuant to the Agreement and Plan of Merger."
Case Profile - Aracruz Celulose S.A.,Settled,"Apr  7, 2008 to Oct  2, 2008","$37,500,000","On behalf of all persons and entities who purchased the American Depository Receipts (""ADRs"") of Aracruz Celulose S.A. (""Aracruz"" or the ""Company"") (n.k.a. Fibria Celulose S.A.)",Aracruz Celulose (ARA)038496204; B294028; US0384962041ARACRUZ CELULOSE S A (no ticker)2058579,"Jul 17, 2013",USDC - Florida (Southern),City Pension Fund for Firefighters and Police Officers in the City of Miami Beach,"Aracruz Celulose S.A;Carlos Albert Vieira, Chairman of the Board;Carlos Augustus Lira Aguiar - CEO and President;Isac Roffe Zagury, CFO;",0,1,"The Complaint alleges as follows: During the Class Period, Aracruz entered into undisclosed currency derivative contracts to purportedly hedge against the Company's U.S. dollar exposure. The Company characterized the use of these contracts as protection against foreign interest rate volatility and assured investors that this type of trading did not represent ""a risk from an economic and financial standpoint."" However, these contracts violated Company policy in that they were far larger than necessary to hedge normal business operations. As a result of Aracruz's clandestine and speculative currency wagers, credit rating agencies downgraded Aracruz, the Company's CFO resigned, and Aracruz's stock suffered a severe decline, plummeting to the lowest levels in 14 years. On October 3, 2008, the price of the ADR's traded on the New York Stock Exchange closed at $23.40, down $7.84 per share, a decline of 25%. The Company's common stock suffered similar drastic declines on the Sao Paulo Bovespa."
"Case Profile - Ardea Biosciences, Inc.",Settled,"Apr 23, 2012 to Jun 19, 2012",$0,"On behalf of all persons who owned Ardea Biosciences, Inc. (""Ardea"" or the ""Company"") common stock","Ardea Biosciences, Inc. (RDEA)03969P107","Jun  7, 2013","California Superior Court, San Diego County",N/A,"Ardea Biosciences, Inc.;Barry D. Quart;Felix J. Baker;Wendyl. Dixon;Henry J. Fuchs;Craig A. Johnson;John W. Poyhonen;Kevin C. Tang;AstraZeneca PLC;",0,0,"The claims arise out of the Defendants' efforts to complete the sale of the Company to AstraZeneca PLC (""AstraZeneca""), allegedly, pursuant to an unfair process and for an unfair price (the ""Proposed Acquisition""). The complaint alleges that in pursuing the unlawful plan to sell Ardea to AstraZeneca, each of the Defendants violated applicable law by directly breaching and/or aiding the other Defendants' breaches of their fiduciary duties of loyalty, due care, candor, independence, good faith and fair dealing.The complaint alleges that the unfair price is the result of any unfair process that has been driven by two of Ardea's largest shareholders, Baker Brothers Investments and Tang Capital Partners, and their representatives on the Company's Board of Directors, Defendants Felix J. Baker (""Baker"") and Kevin C. Tang (""Tang""). According to the complaint, together Baker and Tang control 30.6% of the outstanding shares of Ardea. From this liquidity event Baker and Tang will receive over $360 million for the illiquid block of Ardea shares they now hold. Accordingly, Baker and Tang have entered into voting agreements pursuant to which they have agreed to vote all of their shares in favor of the transaction."
Case Profile - Asset Acceptance Capital Corp. (Michigan Circuit Court),Settled,"Mar  6, 2013 to Jun 13, 2013",$0,"On behalf of all holders of Asset Acceptance Capital Corp. (""AACC"") common stock",ASSET ACCEP CAP CORP (no ticker)04543P100,"Dec 16, 2013","Michigan Circuit Court, Macomb County",N/A,"Asset Acceptance Capital Corp.;H. Eugene Lockhart;Rion Needs;Anthony R. Ignaczak;Nathaniel Bradley;Jennifer L. Adams;Philip Goodeve;Donald H. Haider;William Jacobs;Gerald J. Wilkins;Encore Capital Group, Inc.;Pinnacle Sub, Inc.;",0,0,The Complaint alleges that the Defendants breached their fiduciary duties to AACC shareholders in connection with the acquisition of AACC by Encore Capital. Plaintiffs also alleged that the public statements and descriptions of the Merger omitted information necessary for AACC shareholders to make an informed vote on the proposed Merger.
"Case Profile - Assisted Living Concepts, Inc. (2012)",Settled,"Mar  4, 2011 to Aug  6, 2012","$12,000,000","On behalf of all persons who purchased or otherwise acquired publicly-traded Class A common stock of Assisted Living Concepts, Inc. (""ALC"" or the ""Company"")",ASSISTED LIVING CONCEPTS INCNEV NEW (ALC)04544X300,"Dec 19, 2013",USDC - Wisconsin (Eastern),Pension Trust Fund for Operating Engineers,"Assisted Living Concepts, Inc.;Laurie A. Bebo;",0,1,"The Complaint alleges that in its quarterly and annual Securities and Exchange Commission (""SEC"") filings during the Class Period, ALC affirmatively and unqualifiedly stated that it was in compliance with all occupancy and operating covenants under the lease with Ventas Realty, Limited Partnership (""Ventas Lease""). It also acknowledged any default under the ""operating and occupancy covenants"" in such lease ""could have a material adverse impact on our operations.""Undisclosed to investors, there is substantial evidence that during the Class Period, the Company was in breach of the Ventas Lease's minimum occupancy covenants, which it concealed by treating units leased to employees as bona fide rentals by third parties.The SEC has started an investigation announced on August 7, 2012, concerning a number of topics, including ""compliance with occupancy covenants"" under the Ventas Lease and the ""leasing of units for employee use""."
Case Profile - Bank of America Corporation (2009) (S.D.N.Y.) (Equity Securities),Settled,"Sep 18, 2008 to Jan 21, 2009","$2,425,000,000","On behalf of the following classes:i. all persons and entities who held Bank of America Corporation (""BoA"") common stock as of October 10, 2008, and were entitled to vote on the Merger between BoA and Merrill that was consummated on January 1, 2009, and were damaged thereby; andii. all persons and entities who purchased or otherwise acquired BoA common stock during the period from September 18, 2008 through January 21, 2009, inclusive, excluding shares of BoA common stock acquired by exchanging stock of Merrill for BoA stock through the Merger between the two companies consummated on January 1, 2009, and were damaged thereby; andiii. all persons and entities who purchased or otherwise acquired January 2011 call options of BoA from September 18, 2008 through January 21, 2009, inclusive, and were damaged thereby; andiv. all persons and entities who purchased BoA common stock issued under the Registration Statement in the Secondary Offering that occurred on or about October 7, 2008, and were damaged thereby.",Bank of America Corp. (BAC)060505104,"Apr  5, 2013",USDC - New York (Southern),"Ohio Public Employees Retirement System, State Teachers Retirement System of Ohio, Teacher Retirement System of Texas, PGGM Vermogensbeheer B.V. , Fjarde AP-Fonden","Banc of America Securities LLC;Merrill Lynch Pierce Fenner &amp; Smith, Inc.;Bank of America Corporation;Kenneth D. Lewis - Chairman, CEO and President;John A. Thain - Chairman and CEO;Merrill Lynch &amp; Co., Inc.;Joe L. Price, CFO;Neil A. Cotty, Chief Accounting Officer;William Barnet III, Director;Frank P. Bramble, Sr., Director;John T. Collins, Director;Gary L. Countryman, Director;Tommy R. Franks, Director;Charles K. Gifford, Director;Monica C. Lozano, Director;Walter E. Massey, Director;Thomas J. May, Director;Patricia E. Mitchell, Director;Thomas M. Ryan, Director;O. Temple Sloan, Jr., Director;Meredith R. Spangler, Director;Robert L. Tillman, Director;Jackie M. Ward, Director;",0,1,"On September 15, 2008, BoA and Merrill Lynch announced that they had entered into an agreement for BoA to acquire Merrill Lynch in an all-stock transaction valued at approximately $50 billion. In order to consummate the transaction -- which required the approval of BoA shareholders -- BoA and Merrill Lynch issued a joint proxy statement dated October 31, 2008 (the ""Proxy Statement"") to the shareholders of BoA soliciting their approval for and recommending a vote in favor of the Acquisition.The Complaint alleges that the Proxy Statement contained numerous material misstatements and omissions. In particular, the Proxy Statement did not accurately disclose Merrill Lynch's financial condition and did not disclose the significant risks and liabilities that BoA and its shareholders would be assuming by acquiring Merrill Lynch. Nor did the Proxy Statement reveal that BoA and its advisors had not conducted adequate diligence on Merrill Lynch and that, as a result, they lacked a reasonable basis for the recommendations and other statements set forth in the Proxy Statement.As a result of the material misstatements and omissions contained in the Proxy Statement, the Acquisition was overwhelmingly approved, with 82% of votes cast in favor of the transaction.Also, on January 1, 2009, the date the Acquisition closed, BoA issued a press release announcing the Acquisition's completion. The press release contained numerous positive statements concerning the Acquisition and the joined companies, announcing the ""creat[ion of] a premier financial services franchise with significantly enhanced wealth management, investment banking and international capabilities."" As alleged in the Complaint, these statements were materially false and misleading when made in that they did not reveal that Merrill Lynch's financial condition was in such a deteriorated state that BoA had considered withdrawing from the Acquisition prior to closing and, in fact, only completed the transaction because the federal government had undertaken to assist BoA to absorb the acquisition of Merrill Lynch by, among other things, engaging in a dilutive purchase of additional BoA shares.Investors began to learn the true nature of the financial condition of BoA and the disastrous effect the Acquisition had on its financial position through a series of disclosures, including BoA's January 16, 2009 announcement of a loss for the fourth quarter of $1.79 billion, which was led by a stunning $15.31 billion fourth quarter net loss at Merrill Lynch. These revelations and others caused the price of BoA stock to tumble, from a closing price of $10.20 per share on January 14, 2009 to close at $5.10 per share on January 20, 2009, a 50% decline.Case Updates:On August 27, 2010, the Court granted in part and denied in part defendants' motion to dismiss the securities class action complaint. A copy of the Memorandum and Order is attached as ""Other Forms"".On October 27, 2010, plaintiffs filed a consolidated second amended complaint.On July 29, 2011, the Court granted in part and denied in part Defendants' motion to dismiss. The Defendants' motion to dismiss wasgrantedas to plaintiffs' Section 10(b) and Rule 10b-5 claim directed toward non-disclosure of federal financial assistance. The motion also wasgrantedas to plaintiffs' standing to pursue claims on behalf of holders of BoA preferred shares, debt securities and call options, and only those claims brought on behalf of holders of CUSIP 060505DP6 bonds and January 2011 call options may proceed. The Defendants' motion to dismiss wasdeniedas to plaintiffs' Section 10(b) and Rule 10b-5 claims arising out of Merrill Lynch's losses in the fourth quarter of 2008. A copy of the Memorandum and Order is available as ""Other Forms"".On February 6, 2012, the Court certified a class in this action. A copy of the Court's Memorandum and Order is attached as ""Other Forms""."
Case Profile - BankUnited Financial Corp.,Settled,"Oct 24, 2006 to Jun 18, 2008","$3,057,000","On behalf of all persons who purchased or otherwise acquired common stock of BankUnited Financial Corp. (""BankUnited"" or the ""Company"")",BankUnited Financial Corp. (BKUNA)06652B103,"Jun 14, 2013",USDC - Florida (Southern),"Louisiana Municipal Employees Retirement System , Oklahoma Police Pension &amp; Retirement System",Ramiro A. Ortiz - President and COO;Humberto L. Lopez - Senior Executive VP and CFO;Alfred R. Camner - Chairman and CEO;,0,1,"The Complaint alleges as follows: During the Class Period, Defendants made false and misleading statements about BankUnited. Specifically, Defendants misrepresented: (a) the losses the Company was likely to suffer due to BankUnited's poor underwriting standards, which losses would occur once interest rates reset on the billions of dollars of pay-option arms (adjustable rate mortgages where borrowers had the ability to choose their payment amount during the initial period of the loan); (b) BankUnited's sketchy appraisal process, which permitted borrowers to obtain mortgages in excess of their ability to pay and in excess of the value of the underlying property; and (c) BankUnited's policies with regard to ""piggy-back"" loans, which are essentially second mortgages made at the time a home is purchased to fund a down payment. When the truth began to come to light, BankUnited's stock price plunged, damaging innocent investors.Case Notes:This case was previously dismissed on March 30, 2010."
"Case Profile - Bernard Chaus, Inc.",Settled,"Jul  1, 2010 to Jul  9, 2012",TBD,"On behalf of all holders of Bernard Chaus, Inc. (""Company"") common stock","Bernard Chaus, Inc. (CHBD)162510200","Apr  4, 2013","New York Supreme Court, New York County",N/A,"Bernard Chaus, Inc.;Philip G. Barach;Robert Flug;Josephine Chaus;Camuto Consulting, Inc.;Dr. Barry Berkowitz;",0,0,"The Complaint alleges that the individual defendants breached their fiduciary duties to Chaus' shareholders by agreeing to sell the Company for inadequate and unfair consideration and pursuant to an inadequate and unfair process, and that Camuto Group aided and abetted such breaches."
Case Profile - Bernard L. Madoff Investment Securities LLC (2008) (S.D.N.Y.) (GlobeOp Financial Services),Settled partially,to,"$5,000,000","All Persons who purchased or held interests in Greenwich Sentry, L.P. or Greenwich Sentry Partners, L.P. (the ""Funds"") from October 31, 2003 through September 1, 2006, who were investors in the Funds as of December 10, 2008 and suffered a Net Loss of principal invested in the Funds",Fairfield Lambda Ltd (no ticker)B034655; G3299W106; G3299W114; VGG3299W1142FAIRFIELD Sentry Ltd (no ticker)4390611; G3299L100; VGG3299L1004; 0330934Fairfield Sigma Ltd (no ticker)2860688; B1273Z1; VGG3299V1085; G3299V108GREENWICH SENTRY L P (no ticker)396906109,"Nov 22, 2013",USDC - New York (Southern),N/A,"GlobeOp Financial Services, LLC;",0,0,"The complaint alleges that defendants breached their fiduciary duties to plaintiffs and the class by failing to manage properly their investments and to carry out necessary due diligence during the class period that would have uncovered the massive Ponzi scheme carried out by Bernard L. Madoff and his company, Bernard L. Madoff Investment Securities and the wrongful dissipation of the assets of Plaintiffs and the Class."
Case Profile - Bernard L. Madoff Investment Securities LLC (2008) (S.D.N.Y.) (Greenwich/Fairfield) (Fairfield Green,Settled partially,"Dec 10, 2008 to","$50,250,000","On behalf of all shareholders in Fairfield Sentry Limited (""Sentry""), Fairfield Sigma Limited (""Sigma""), Fairfield Lambda Limited (""Lambda""), Greenwich Sentry, L.P. (""Greenwich Sentry"") and Greenwich Sentry Partners, L.P. (""Greenwich Sentry Partners"") as of December 10, 2008",Fairfield Lambda Ltd (no ticker)B034655; G3299W106; G3299W114; VGG3299W1142Fairfield Sentry Ltd (no ticker)VGG3299L1004; G3299L100; 0330934Fairfield Sigma Ltd (no ticker)2860688; G3299V108; VGG3299V1085GREENWICH SENTRY L P (no ticker)396906109,"Mar 22, 2013",USDC - New York (Southern),N/A,Fairfield Greenwich Limited;Fairfield Greenwich (Bermuda) Ltd.;,0,0,"The complaint alleges that defendants breached their fiduciary duties to plaintiffs and the class by failing to manage properly their investments and to carry out necessary due diligence during the class period that would have uncovered the massive Ponzi scheme carried out by Bernard L. Madoff and his company, Bernard L. Madoff Investment Securities and the wrongful dissipation of the assets of Plaintiffs and the Class."
Case Profile - Bernard L. Madoff Investment Securities LLC (2009) (S.D.N.Y.) (Beacon Associates LLC I and II),Settled disbursed,to,"$219,857,694","On behalf of all persons who, as of December 11, 2008, had not redeemed their interests in the Beacon Associates LLC I and Beacon Associates LLC II (collectively, the ""Beacon Fund"") the assets of which were substantially invested directly or indirectly with Bernard L. Madoff (""Madoff"") and/or Bernard L. Madoff Investment Securities (""BMIS"") (""Investor Class"") and;On behalf of all persons and entities who obtained the investment management services of J.P. Jeanneret Associates, Inc., John P. Jeanneret, or Paul L. Perry, and who invested in the Beacon Funds, and had not fully redeemed their interests in the Beacon Funds as of December 11, 2008 (the ""Jeanneret Investor Subclass"")",SCAS Website purposes only (no ticker)123456789,"May 29, 2013",USDC - New York (Southern),"Plumbers &amp; Steamfitters Local 267 Benefit Funds, Plumbers Local 112 Health Fund, Local 73 Retirement Fund, U.A. of Journeymen &amp; Apprentices Local 73 Fund",N/A,0,1,"The Complaint alleges as follows: On December 11, 2008, Madoff was arrested by federal authorities for operating a $50 billion Ponzi scheme, in which Madoff used the principal investments of new clients to pay the fictitious ""returns"" of other clients. Madoff and BMIS were charged with securities fraud and other federal offenses by the SEC. Madoff and BMIS were also criminally charged with securities fraud by the United States Attorney's Office for the Southern District of New York.  On March 12, 2009, Madoff pleaded guilty to all eleven criminal charges, admitting in court that he operated a Ponzi scheme. On June 29, 2009, Madoff was given a sentence of 150 years in prison.Madoff did not perpetrate this fraud by himself. Defendants facilitated Madoff's fraud and committed their own violations of law by investing and allowing to be invested their clients' money with Madoff while knowing that they would be unable to carry out their duties given their inability to obtain independent verification of the facts being represented to them by Madoff and/or BMIS. They did so by, among other things, (a) employing a scheme to defraud potential investors by (i) issuing Offering Memoranda that contained false statements regarding their due diligence; and the investment strategies and objectives of the Beacon Fund, (ii) failing to disclose relevant facts to investors, and (iii) issuing account statements, financial reports and other devices to perpetuate their scheme to defraud Beacon investors; (b) engaging in a course of business which operated as a fraud or deceit upon investors in the Beacon Fund; and (c) breaching their fiduciary duties imposed by ERISA (as to ERISA covered plans) and state law with regard to candor, undivided loyalty and good faith and fair dealing. These breaches arose from false and misleading statements and omissions regarding (a) Ivy Asset Management Corp.'s (and its successor in interest, Ivy Asset Management, LLC, hereinafter ""Ivy"") role in the scheme and (b) all the defendants' due diligence and monitoring of Madoff and BMIS (e.g., the performance of Madoff's trading strategy).As a result of defendants' wrongful conduct, including making false and misleading statements (and failing to disclose material information) in the Offering Memoranda, audit reports, and other documents about, inter alia, Ivy's role, due diligence performed and by failing to conduct due diligence into Madoff and/or BMIS, the Beacon Fund's investments in Madoff and/or BMIS have been decimated, thereby damaging the Class and the Beacon Fund.Case Updates:On October 05, 2010, the Court granted in part and denied in part defendants' motion to dismiss the securities class action complaint. A copy of the Opinion and Order is attached as ""Other Forms"".A class was certified in this action on March 14, 2012. A copy of the Order granting class certification is attached as ""Other Forms""."
"Case Profile - BIDZ.com, Inc. (2009)",Settled,"Aug 13, 2007 to Nov 28, 2007","$3,150,000","On behalf of all those who purchased the common stock of BIDZ.com, Inc. (""Bidz.com"" or the ""Company"")","BIDZ.com, Inc. (BIDZ)08883T200","Oct 11, 2013",USDC - California (Central),N/A,"BIDZ.com, Inc.;David Zinberg;Lawrence Y. Kong, CFO;",0,0,"The Complaint alleges  as follows: During the class period, defendants issued a series of false and misleading statements intended to project the picture of a financially sound and well-operating company, when, in fact, the Company was operating with material deficiencies and undisclosed substantial problems that went to the heart of its business model. On November 26, 2007, a Citron Research article identified numerous ""red flags"" and revealed previously undisclosed material problems with the Company. Two days later Citron issued a second article that provided additional details, revealing, among other things, that the Company engaged improper business tactics in order to artificially raise the auction price of its products. On this news, the Company's stock price dropped from a closing price of $19.94 on Friday, November 23, 2007, to a low of $10.10 on November 28, a loss of nearly 50%.Case Notes:Please be advised that the litigation was tentatively dismissed by the Court on May 25, 2010. Lead Plaintiff was given until June 22, 2010 to file an amended complaint. A copy of the Court's Order is available above.On June 22, 2010, Lead Plaintiff filed a consolidated amended complaint, which updated the Class Period to August 13, 2007, through November 28, 2007.On November 30, 2011, the Court granted stipulation to stay case pending filing an application for preliminary approval of settlement."
"Case Profile - BioForm Medical, Inc.",Settled,to,TBD,"On behalf of all former shareholders of BioForm Medical, Inc. (""BioForm"") who either (a) tendered their shares of BioForm common stock to Merz GmbH &amp; Co. KGaA (""Merz"") pursuant to the January 15, 2010 cash tender offer, or (b) did not tender their shares of BioForm Medical Inc. common stock to Merz but whose BioForm shares were nonetheless converted into a right to receive the same cash tender offer price of $5.45, by operation of Delaware's short-form merger statute.","BioForm Medical, Inc. (BFRM)09065G107","Jan 18, 2013","California Superior Court, San Mateo County",N/A,"Steven Basta;Dennis Condon;Martin Sutter;Timothy Lynch;Kevin Sidow;N.C. Joseph Lai;Christopher Dennis;Jeffrey Nugent;BioForm Medical, Inc.;",0,0,"The Complaint alleges that Defendants breached their fiduciary duty and other violations of state law arising out a proposed transaction in which Merz and Vine Acquisition Corp. seek to acquire all the outstanding shares of BioForm through a cash tender offer by means of an unfair process and for an unfair price of $5.45 per share (the ""Proposed Transaction""). The Proposed Transaction is valued at approximately $253 million.Among other things, the complaint alleges that the Merger Agreement gives Merz access to any rival bidder's information and allows Merz a free right to top any superior offer. Accordingly, no rival bidder is likely to emerge and act as a stalking horse for Merz, because the Merger Agreement unfairly assures that any ""auction"" will favor Merz and piggy-back upon the due diligence of the foreclosed second bidder.The complaint further alleges that despite their duty to maximize shareholder value, the Defendants have clear and material conflicts of interest and are acting to better their own interests at the expense of BioForm's public shareholders. For example, certain of the Company's directors and officers hold unvested stock options that will automatically vest upon consummation of the Proposed Transaction. Upon consummation of the Proposed Transaction, the directors and officers will receive an aggregate value equal to $7,787,626 by cashing out these previously unvested stock options.Case Notes:A class was certified in this action on April 4, 2012. A copy of the Notice of Certification of Shareholder Class is available below as ""Other Forms""."
Case Profile - Brantley Capital Corp. (SEC),Settled,"Mar 31, 2003 to Oct 24, 2005","$957,729","On behalf of all persons who purchased the common stock of Brantley Capital Corp. (""Brantley"" or the ""Company"")",BRANTLEY CAP CORP (BBDC)105494108,"Jul 29, 2013",USDC - Ohio (Northern),N/A,"Brantley Capital Management, LLC;Robert Pinkas;Tab Keplinger;",1,0,"This action alleges that defendants substantially overstated the value of equity and debt investments in two failing companies, Flight Options International (""FOI"") and Disposable Products Company (""DPC"") that represented over one-half of the Company's investment portfolio to generate higher investment advisory fees.  The complaint also alleges that the defendants made material misrepresentations and failed to make required disclosures regarding the two companies to Brantley's board of directors, independent auditors, and to investors. These violations of the federal securities laws occurred during the period 2002 to 2005 as the operating company underlying the FOI investment was practically insolvent and DPC teetered on bankruptcy."
